Reference image,English copy,Note,Translation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Get ready to read,,Prepárate para leer,,,,,,,,,,,,,,,,,,,,,,
,A 25-day reading challenge is on the way.,,Se acerca un reto de lectura de 25 días.,,,,,,,,,,,,,,,,,,,,,,
,Explore Wikipedia,,Explorar Wikipedia,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Join challenge,,Únete al reto,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ready, set, read!",,"¡Preparados, listos, a leer!",,,,,,,,,,,,,,,,,,,,,,
,Join the 25-day challenge and unlock special prizes.,,Únete al reto de 25 días y desbloquea premios especiales.,,,,,,,,,,,,,,,,,,,,,,
,Join the challenge,,Únete al reto,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Explore,,Explorar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Start your reading challenge.
Every streak starts somewhere",,"Empieza tu reto de lectura.
Toda racha tiene un inicio.",,,,,,,,,,,,,,,,,,,,,,
,Spin up a new streak? Read one article to get started.,,¿Quieres empezar una nueva racha? Lee un artículo para empezar.,,,,,,,,,,,,,,,,,,,,,,
,A fresh start. Your streak is just one article away.,,Un nuevo comienzo. Tu racha está a un solo artículo de distancia.,,,,,,,,,,,,,,,,,,,,,,
,Search,,Buscar,,,,,,,,,,,,,,,,,,,,,,
,Random,,Aleatorio,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1 day,Note: The number of days will span from 1 to 25,1 día,,,,,,,,,,,,,,,,,,,,,,
,2 days,,2 días,,,,,,,,,,,,,,,,,,,,,,
,3 days,,3 días,,,,,,,,,,,,,,,,,,,,,,
,X days,,X días,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,25-day reading challenge,,Reto de lectura de 25 días,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Curiosity accomplished!,,¡Meta alcanzada!,,,,,,,,,,,,,,,,,,,,,,
,Nicely read. Your streak is going strong.,,Buena lectura. Tu racha sigue imparable.,,,,,,,,,,,,,,,,,,,,,,
,Momentum maintained 🔥,,Mantienes el impulso 🔥,,,,,,,,,,,,,,,,,,,,,,
,One more day of learning. That’s something to be proud of!,,Un día más de aprendizaje. ¡Eso sí que es motivo de orgullo!,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Streak: still sparkling ✨,,Racha: continúa brillando ✨,,,,,,,,,,,,,,,,,,,,,,
,Today’s reading keeps your streak alive.,,La lectura de hoy mantiene viva tu racha.,,,,,,,,,,,,,,,,,,,,,,
,Progress looks good on you.,,El progreso te sienta muy bien.,,,,,,,,,,,,,,,,,,,,,,
,Your streak is going strong!,,¡Tu racha sigue imparable!,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Gold star energy ⭐,,Actitud de estrella ⭐,,,,,,,,,,,,,,,,,,,,,,
,"Another day, another discovery.",,"Un día más, un nuevo descubrimiento.",,,,,,,,,,,,,,,,,,,,,,
,That’s one more day of discovery in the books.,,Ya hemos sumado otro día de descubrimientos.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"Don’t let today drift by, your reading streak is waiting.",,"No dejes que el día se te escape, tu racha de lectura te espera.",,,,,,,,,,,,,,,,,,,,,,
,"Before the day snoozes away…
there’s still time to learn something.",,"Antes de que el día se acabe…
aún hay tiempo para aprender algo.",,,,,,,,,,,,,,,,,,,,,,
,Even a small bit of reading counts towards your goal.,,Incluso un poco de lectura cuenta para tu meta.,,,,,,,,,,,,,,,,,,,,,,
,Your streak is just one article away.,,Tu racha está a un solo artículo de distancia.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Quiet reading moment? ,,¿Un momento tranquilo para leer?,,,,,,,,,,,,,,,,,,,,,,
,Jump in for some reading anytime today.,,Aprovecha cualquier momento del día para leer.,,,,,,,,,,,,,,,,,,,,,,
,Keep your curiosity going.,,Mantén viva tu curiosidad.,,,,,,,,,,,,,,,,,,,,,,
,Your streak is just one article away.,,Tu racha está a un solo artículo de distancia.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,25 of 25,,25 de 25,,,,,,,,,,,,,,,,,,,,,,
,Collect prize,,Reclama tu premio,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,You did it!,,¡Lo lograste!,,,,,,,,,,,,,,,,,,,,,,
,25 of 25 days,,25 de 25 días,,,,,,,,,,,,,,,,,,,,,,
,Collect your prize!,,¡Reclama tu premio!,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Challenge Concluded,,Reto completado,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Collect your prizes,,Reclama tus premios,,,,,,,,,,,,,,,,,,,,,,
,"One adorable badge, earned",,Has ganado una adorable insignia,,,,,,,,,,,,,,,,,,,,,,
,You completed the challenge and Baby Globe couldn't be prouder. Bask in your achievement with a digital badge for your activity tab.,,Completaste el reto y Baby Globe no podría estar más orgulloso. Celebra tu logro con una insignia digital en tu pestaña de actividad.,,,,,,,,,,,,,,,,,,,,,,
,25-day challenge badge,,Insignia del reto de 25 días,,,,,,,,,,,,,,,,,,,,,,
,Curiosity looks good on you!,,¡La curiosidad te sienta muy bien!,,,,,,,,,,,,,,,,,,,,,,
,Celebrate completing the challenge with 15% off at the Wikipedia Store,,Celebra haber completado el reto con un 15 % de descuento en la tienda de Wikipedia.,,,,,,,,,,,,,,,,,,,,,,
,Get 15% off at the store,,Obtén un 15 % de descuento en la tienda,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Completed challenges,,Retos completados,,,,,,,,,,,,,,,,,,,,,,
,Read 1 article a day for 25 days,,Lee un artículo al día durante 25 días,,,,,,,,,,,,,,,,,,,,,,
